payer,code,avg_rate,max_rate,min_rate,range_rate,percentile_25,median_rate,percentile_75
Kaiser Foundation Health Plan,76805,581.52,701.00,496.00,205.00,496.0000,496.0000,701.0000
UnitedHealthcare,76805,389.55,645.85,202.22,443.63,202.2200,381.0200,583.2400
Aetna,76811,311.94,995.74,81.76,913.98,91.6900,173.4400,510.6950
Ambetter,76811,159.13,159.13,159.13,0.00,159.1300,159.1300,159.1300
Blue Shield of California,76811,1042.22,1042.22,1042.22,0.00,1042.2200,1042.2200,1042.2200
Cigna Corporation,76811,448.82,673.23,321.84,351.39,321.8400,351.3900,673.2300
Kaiser Foundation Health Plan,76811,634.71,910.00,436.00,474.00,436.0000,436.0000,910.0000
UnitedHealthcare,76811,491.39,830.36,348.77,481.59,348.7700,386.6700,735.4400
Aetna,76815,148.25,472.95,27.64,445.31,54.9500,82.5900,265.2775
Ambetter,76815,54.48,54.48,54.48,0.00,54.4800,54.4800,54.4800
Blue Shield of California,76815,409.22,409.22,409.22,0.00,409.2200,409.2200,409.2200
Cigna Corporation,76815,209.58,314.37,118.23,196.14,118.2300,196.1400,314.3700
Kaiser Foundation Health Plan,76815,367.00,449.00,315.00,134.00,315.0000,315.0000,449.0000
UnitedHealthcare,76815,233.40,395.38,132.11,263.27,132.1100,217.2000,349.3100
Aetna,76816,192.08,638.11,36.62,601.49,56.8200,93.4400,361.5150
Ambetter,76816,71.20,71.20,71.20,0.00,71.2000,71.2000,71.2000
Blue Shield of California,76816,320.17,320.17,320.17,0.00,320.1700,320.1700,320.1700
Cigna Corporation,76816,286.39,429.58,157.68,271.90,157.6800,271.9100,429.5800
Kaiser Foundation Health Plan,76816,491.23,551.00,449.00,102.00,449.0000,449.0000,551.0000
UnitedHealthcare,76816,314.59,505.46,172.94,332.52,172.9400,298.3600,471.3000
Aetna,76817,166.73,539.27,32.13,507.14,56.8200,88.9500,301.1675
Ambetter,76817,120.61,178.38,62.84,115.54,91.7250,120.6100,149.4950
Blue Shield of California,76817,431.83,431.83,431.83,0.00,431.8300,431.8300,431.8300
Cigna Corporation,76817,240.64,360.97,136.91,224.06,136.9100,224.0600,360.9700
Kaiser Foundation Health Plan,76817,392.52,460.00,342.00,118.00,342.0000,342.0000,460.0000
UnitedHealthcare,76817,266.08,446.70,152.50,294.20,152.5000,245.7900,398.2900
Aetna,76819,151.91,488.22,33.34,454.88,49.3500,82.6900,259.9450
Blue Shield of California,76819,464.77,464.77,464.77,0.00,464.7700,464.7700,464.7700
Cigna Corporation,76819,222.45,333.67,141.52,192.15,141.5200,192.1600,333.6700
Kaiser Foundation Health Plan,76819,372.80,432.00,332.00,100.00,332.0000,332.0000,432.0000
UnitedHealthcare,76819,240.80,395.87,156.91,238.96,156.9100,203.6800,360.5900
Aetna,76830,214.65,696.43,29.75,666.68,83.5900,113.3400,426.9525
Ambetter,76830,88.83,165.16,58.07,107.09,58.0700,58.6700,111.9150
Blue Shield of California,76830,436.86,436.86,436.86,0.00,436.8600,436.8600,436.8600
Cigna Corporation,76830,303.33,455.00,124.60,330.40,124.6000,330.3900,455.0000
Kaiser Foundation Health Plan,76830,369.04,392.00,332.00,60.00,332.0000,392.0000,392.0000
UnitedHealthcare,76830,343.24,542.61,140.88,401.73,140.8800,373.4900,514.3700
Aetna,76856,196.24,619.13,29.75,589.38,83.2800,113.0300,369.9975
Ambetter,76856,80.80,138.63,57.44,81.19,57.4400,58.0200,98.3250
Blue Shield of California,76856,436.86,436.86,436.86,0.00,436.8600,436.8600,436.8600
Cigna Corporation,76856,273.20,409.80,124.60,285.20,124.6000,285.2000,409.8000
Kaiser Foundation Health Plan,76856,383.83,625.00,209.04,415.96,209.0400,209.0400,625.0000
UnitedHealthcare,76856,305.82,541.15,139.37,401.78,139.3700,317.9100,457.2800
Aetna,76857,96.77,271.70,16.92,254.78,56.8200,73.7300,136.0700
Blue Shield of California,76857,445.78,445.78,445.78,0.00,445.7800,445.7800,445.7800
Cigna Corporation,76857,117.60,176.40,87.15,89.25,87.1500,89.2500,176.4000
Kaiser Foundation Health Plan,76857,252.76,346.00,185.00,161.00,185.0000,185.0000,346.0000
UnitedHealthcare,76857,136.56,440.96,80.98,359.98,100.0100,100.6600,200.6700
Aetna,76870,189.78,593.08,27.82,565.26,84.5300,112.3400,357.3650
Blue Shield of California,76870,436.86,436.86,436.86,0.00,436.8600,436.8600,436.8600
Cigna Corporation,76870,167.09,250.64,115.64,135.00,115.6400,135.0000,250.6400
Kaiser Foundation Health Plan,76870,340.58,530.00,198.52,331.48,198.5200,198.5200,530.0000
UnitedHealthcare,76870,293.18,537.85,129.17,408.68,129.1700,308.8700,438.0400
Aetna,76882,87.41,320.60,9.19,311.41,17.1700,26.3600,173.2700
Ambetter,76882,37.40,57.44,17.37,40.07,17.3700,37.4050,57.4400
Blue Shield of California,76882,82.21,82.21,82.21,0.00,82.2100,82.2100,82.2100
Cigna Corporation,76882,86.63,129.95,41.96,87.99,41.9600,87.9900,129.9500
Kaiser Foundation Health Plan,76882,183.62,195.00,140.09,54.91,172.0000,195.0000,195.0000
UnitedHealthcare,76882,156.57,236.79,43.99,192.80,99.2400,137.5500,236.7900
Aetna,77014,239.98,690.99,36.78,654.21,136.8300,173.6100,393.0375
Ambetter,77014,81.18,81.18,81.18,0.00,81.1800,81.1800,81.1800
Blue Shield of California,77014,1181.31,1181.31,1181.31,0.00,1181.3100,1181.3100,1181.3100
Cigna Corporation,77014,291.08,436.63,158.08,278.55,158.0800,278.5500,436.6300
Kaiser Foundation Health Plan,77014,432.57,684.00,275.98,408.02,278.0000,278.0000,684.0000
UnitedHealthcare,77014,343.95,831.17,176.08,655.09,184.9500,325.4000,510.3500
Aetna,77063,94.81,307.47,23.57,283.90,26.5700,50.1400,159.3975
Ambetter,77063,48.67,50.28,45.47,4.81,47.8750,50.2800,50.2800
Blue Shield of California,77063,199.44,199.44,199.44,0.00,199.4400,199.4400,199.4400
Cigna Corporation,77063,135.25,202.89,94.37,108.52,94.3700,108.5100,202.8900
Kaiser Foundation Health Plan,77063,231.42,273.00,203.00,70.00,203.0000,203.0000,273.0000
UnitedHealthcare,77063,151.37,227.09,105.18,121.91,105.1800,121.9100,227.0900
Aetna,77065,232.50,756.62,34.46,722.16,87.0800,121.5400,455.2300
Ambetter,77065,68.82,68.82,68.82,0.00,68.8200,68.8200,68.8200
Blue Shield of California,77065,571.39,571.39,571.39,0.00,571.3900,571.3900,571.3900
Cigna Corporation,77065,327.21,490.82,139.16,351.66,139.1600,351.6600,490.8200
Kaiser Foundation Health Plan,77065,557.57,680.00,476.00,204.00,476.0000,476.0000,680.0000
UnitedHealthcare,77065,372.44,558.83,154.84,403.99,165.7900,393.0400,558.8300
Aetna,77066,293.72,954.37,42.89,911.48,111.4400,154.3300,577.9200
Ambetter,77066,82.50,82.50,82.50,0.00,82.5000,82.5000,82.5000
Blue Shield of California,77066,791.47,791.47,791.47,0.00,791.4700,791.4700,791.4700
Cigna Corporation,77066,415.47,623.21,173.19,450.02,173.1900,450.0200,623.2100
Kaiser Foundation Health Plan,77066,550.29,863.00,357.00,506.00,357.0000,357.0000,863.0000
UnitedHealthcare,77066,469.83,704.88,192.69,512.19,203.6500,501.2300,704.8800
Aetna,77067,237.85,773.31,32.71,740.60,92.0200,124.7300,474.6775
Ambetter,77067,100.48,174.62,63.42,111.20,63.4200,63.4200,119.0200
Blue Shield of California,77067,802.64,802.64,802.64,0.00,802.6400,802.6400,802.6400
Cigna Corporation,77067,335.80,503.70,132.11,371.59,132.1100,371.6000,503.7000
Kaiser Foundation Health Plan,77067,590.47,700.00,515.00,185.00,515.0000,515.0000,700.0000
UnitedHealthcare,77067,380.67,571.15,147.03,424.12,155.5500,415.6000,571.1500
Aetna,77080,90.86,222.28,9.40,212.88,54.3400,77.3900,147.6525
Ambetter,77080,16.44,16.44,16.44,0.00,16.4400,16.4400,16.4400
Blue Shield of California,77080,225.15,225.15,225.15,0.00,225.1500,225.1500,225.1500
Cigna Corporation,77080,101.11,151.68,36.61,115.07,36.6100,115.0600,151.6800
Kaiser Foundation Health Plan,77080,291.66,334.00,221.00,113.00,237.0000,334.0000,334.0000
UnitedHealthcare,77080,112.36,415.49,40.14,375.35,40.1400,124.0300,164.1700
Aetna,77336,203.43,452.19,47.79,404.40,47.7900,47.7900,361.7500
Blue Shield of California,77336,266.46,854.73,222.51,632.22,222.5100,222.5100,222.5100
Cigna Corporation,77336,295.03,295.03,295.03,0.00,295.0300,295.0300,295.0300
Kaiser Foundation Health Plan,77336,245.66,321.00,198.00,123.00,198.0000,198.0000,321.0000
UnitedHealthcare,77336,332.15,333.98,228.78,105.20,333.9800,333.9800,333.9800
Aetna,77427,499.25,1054.73,155.13,899.60,155.1300,155.1300,843.7800
Ambetter,77427,346.77,346.77,346.77,0.00,346.7700,346.7700,346.7700
Blue Shield of California,77427,630.58,684.61,629.78,54.83,629.7800,629.7800,629.7800
Cigna Corporation,77427,663.79,663.79,663.79,0.00,663.7900,663.7900,663.7900
Kaiser Foundation Health Plan,77427,715.85,789.00,621.00,168.00,675.0000,675.0000,789.0000
UnitedHealthcare,77427,778.37,779.01,742.71,36.30,779.0100,779.0100,779.0100
Aetna,78452,830.91,2705.69,67.62,2638.07,365.8200,433.4400,1732.5100
Blue Shield of California,78452,2323.62,2323.62,2323.62,0.00,2323.6200,2323.6200,2323.6200
Cigna Corporation,78452,1209.15,1813.73,283.30,1530.43,283.3000,1530.4300,1813.7300
Kaiser Foundation Health Plan,78452,2252.42,2278.00,2157.00,121.00,2226.0000,2278.0000,2278.0000
UnitedHealthcare,78452,1333.14,2075.11,322.31,1752.80,322.3100,1676.0700,1998.3800
Aetna,78815,1375.08,2200.00,90.00,2110.00,90.0000,2110.0000,2200.0000
Ambetter,78815,2221.27,4245.15,197.40,4047.75,197.4000,2221.2750,4245.1500
Blue Shield of California,78815,10673.35,10673.35,10673.35,0.00,10673.3500,10673.3500,10673.3500
Cigna Corporation,78815,2446.62,3669.93,428.46,3241.47,428.4600,3241.4700,3669.9300
Kaiser Foundation Health Plan,78815,5822.14,7441.00,4608.00,2833.00,4608.0000,4608.0000,7441.0000
UnitedHealthcare,78815,4342.98,7759.98,484.90,7275.08,484.9000,6007.5400,6492.4400
UnitedHealthcare,790,15678.00,15678.00,15678.00,0.00,15678.0000,15678.0000,15678.0000
Aetna,80048,21.61,53.04,9.89,43.15,9.8900,9.8900,44.3800
Blue Shield of California,80048,32.24,39.28,31.50,7.78,31.5000,31.5000,31.5000
Cigna Corporation,80048,42.53,42.53,42.53,0.00,42.5300,42.5300,42.5300
Kaiser Foundation Health Plan,80048,28.39,43.00,15.00,28.00,15.0000,15.0000,43.0000
UnitedHealthcare,80048,32.95,48.47,32.68,15.79,32.6800,32.6800,32.6800
Aetna,80050,34.73,36.18,18.40,17.78,36.1800,36.1800,36.1800
Blue Shield of California,80050,157.69,332.16,139.13,193.03,139.1300,139.1300,139.1300
Cigna Corporation,80050,174.12,174.12,174.12,0.00,174.1200,174.1200,174.1200
Kaiser Foundation Health Plan,80050,103.14,182.00,44.00,138.00,44.0000,44.0000,182.0000
UnitedHealthcare,80050,196.89,196.89,196.89,0.00,196.8900,196.8900,196.8900
Aetna,80053,26.70,66.21,12.34,53.87,12.3400,12.3400,54.2575
Blue Shield of California,80053,40.31,49.04,39.34,9.70,39.3400,39.3400,39.3400
Cigna Corporation,80053,53.17,53.17,53.17,0.00,53.1700,53.1700,53.1700
Kaiser Foundation Health Plan,80053,37.16,53.00,20.00,33.00,20.0000,53.0000,53.0000
UnitedHealthcare,80053,41.13,60.51,40.79,19.72,40.7900,40.7900,40.7900
Aetna,80061,33.57,83.96,15.65,68.31,15.6500,15.6500,67.5700
Blue Shield of California,80061,51.08,62.15,49.85,12.30,49.8500,49.8500,49.8500
Cigna Corporation,80061,101.02,101.02,101.02,0.00,101.0200,101.0200,101.0200
Kaiser Foundation Health Plan,80061,46.08,67.00,23.43,43.57,23.4300,67.0000,67.0000
UnitedHealthcare,80061,51.72,51.72,51.72,0.00,51.7200,51.7200,51.7200
Aetna,80069,22.14,54.42,10.14,44.28,10.1400,10.1400,45.4150
Blue Shield of California,80069,33.12,40.27,32.33,7.94,32.3300,32.3300,32.3300
Cigna Corporation,80069,43.86,43.86,43.86,0.00,43.8600,43.8600,43.8600
Kaiser Foundation Health Plan,80069,28.59,42.00,15.19,26.81,15.1900,28.5950,42.0000
UnitedHealthcare,80069,33.53,33.53,33.53,0.00,33.5300,33.5300,33.5300
Aetna,80305,30.08,79.00,12.42,66.58,12.4200,12.4200,63.8500
Blue Shield of California,80305,45.59,49.67,45.14,4.53,45.1400,45.1400,45.1400
Cigna Corporation,80305,55.83,55.83,55.83,0.00,55.8300,55.8300,55.8300
Kaiser Foundation Health Plan,80305,29.97,43.00,22.05,20.95,22.0500,32.0000,32.0000
UnitedHealthcare,80305,48.88,60.88,48.67,12.21,48.6700,48.6700,48.6700
Aetna,80307,147.44,389.62,18.40,371.22,66.2400,66.2400,308.7750
Blue Shield of California,80307,243.14,264.97,240.82,24.15,240.8200,240.8200,240.8200
Cigna Corporation,80307,295.08,295.08,295.08,0.00,295.0800,295.0800,295.0800
Kaiser Foundation Health Plan,80307,189.82,241.00,144.00,97.00,144.0000,144.0000,241.0000
UnitedHealthcare,80307,241.50,324.78,240.03,84.75,240.0300,240.0300,240.0300
Aetna,81000,10.16,25.21,3.69,21.52,3.6900,3.6900,23.5075
Blue Shield of California,81000,11.98,14.71,11.78,2.93,11.7800,11.7800,11.7800
Cigna Corporation,81000,15.95,15.95,15.95,0.00,15.9500,15.9500,15.9500
Kaiser Foundation Health Plan,81000,7.04,7.04,7.04,0.00,7.0400,7.0400,7.0400
UnitedHealthcare,81000,15.53,15.53,15.53,0.00,15.5300,15.5300,15.5300
Aetna,81001,8.78,19.88,3.69,16.19,3.6900,3.6900,19.5100
Blue Shield of California,81001,11.98,14.71,11.78,2.93,11.7800,11.7800,11.7800
Cigna Corporation,81001,15.95,15.95,15.95,0.00,15.9500,15.9500,15.9500
Kaiser Foundation Health Plan,81001,11.26,16.00,7.00,9.00,7.0000,7.0000,16.0000
UnitedHealthcare,81001,12.35,18.11,12.25,5.86,12.2500,12.2500,12.2500
Aetna,81002,8.81,21.82,2.99,18.83,2.9900,2.9900,20.9650
Ambetter,81002,5.80,5.80,5.80,0.00,5.8000,5.8000,5.8000
Blue Shield of California,81002,9.68,11.85,9.52,2.33,9.5200,9.5200,9.5200
Cigna Corporation,81002,13.29,13.29,13.29,0.00,13.2900,13.2900,13.2900
Kaiser Foundation Health Plan,81002,12.90,13.00,11.00,2.00,13.0000,13.0000,13.0000
UnitedHealthcare,81002,13.46,14.65,13.44,1.21,13.4400,13.4400,13.4400
Aetna,81003,6.55,18.40,2.62,15.78,2.6200,2.6200,14.1100
Ambetter,81003,3.84,3.96,3.75,0.21,3.7500,3.7500,3.9600
Blue Shield of California,81003,8.49,10.42,8.35,2.07,8.3500,8.3500,8.3500
Cigna Corporation,81003,11.96,11.96,11.96,0.00,11.9600,11.9600,11.9600
Kaiser Foundation Health Plan,81003,8.70,14.00,3.94,10.06,3.9400,3.9400,14.0000
UnitedHealthcare,81003,8.76,12.86,8.69,4.17,8.6900,8.6900,8.6900
Aetna,81025,19.51,53.98,6.44,47.54,6.4400,6.4400,45.0850
Ambetter,81025,14.38,15.14,14.34,0.80,14.3400,14.3400,14.3400
Blue Shield of California,81025,10.41,25.56,8.73,16.83,8.7300,8.7300,8.7300
Cigna Corporation,81025,31.90,31.90,31.90,0.00,31.9000,31.9000,31.9000
Kaiser Foundation Health Plan,81025,18.68,22.00,15.07,6.93,15.0700,22.0000,22.0000
UnitedHealthcare,81025,32.91,33.26,13.43,19.83,33.2600,33.2600,33.2600
Cigna Corporation,811,6500.00,6500.00,6500.00,0.00,6500.0000,6500.0000,6500.0000
Cigna Corporation,812,6500.00,6500.00,6500.00,0.00,6500.0000,6500.0000,6500.0000
Cigna Corporation,813,6500.00,6500.00,6500.00,0.00,6500.0000,6500.0000,6500.0000
Aetna,82043,15.12,36.24,6.76,29.48,6.7600,6.7600,31.7800
Blue Shield of California,82043,22.07,26.86,21.54,5.32,21.5400,21.5400,21.5400
Cigna Corporation,82043,29.24,29.24,29.24,0.00,29.2400,29.2400,29.2400
Kaiser Foundation Health Plan,82043,18.59,30.00,10.12,19.88,10.1200,10.1200,30.0000
UnitedHealthcare,82043,22.33,22.33,22.33,0.00,22.3300,22.3300,22.3300
Aetna,82274,39.69,99.82,18.40,81.42,18.5800,18.5800,79.5100
Blue Shield of California,82274,60.59,73.77,59.19,14.58,59.1900,59.1900,59.1900
Cigna Corporation,82274,81.08,81.08,81.08,0.00,81.0800,81.0800,81.0800
Kaiser Foundation Health Plan,82274,55.72,95.00,27.86,67.14,27.8600,27.8600,95.0000
UnitedHealthcare,82274,61.50,61.50,61.50,0.00,61.5000,61.5000,61.5000
Aetna,82306,72.87,185.59,18.40,167.19,34.5800,34.5800,147.8375
Blue Shield of California,82306,112.81,137.32,110.21,27.11,110.2100,110.2100,110.2100
Cigna Corporation,82306,150.20,150.20,150.20,0.00,150.2000,150.2000,150.2000
Kaiser Foundation Health Plan,82306,87.73,128.00,51.80,76.20,51.8000,76.9000,128.0000
UnitedHealthcare,82306,115.29,169.53,114.34,55.19,114.3400,114.3400,114.3400
Aetna,82607,37.65,94.55,17.60,76.95,17.6000,17.6000,75.5125
Blue Shield of California,82607,57.08,69.92,56.10,13.82,56.1000,56.1000,56.1000
Cigna Corporation,82607,77.09,77.09,77.09,0.00,77.0900,77.0900,77.0900
Kaiser Foundation Health Plan,82607,50.86,76.00,26.39,49.61,26.3900,49.1950,76.0000
UnitedHealthcare,82607,58.25,58.25,58.25,0.00,58.2500,58.2500,58.2500
Aetna,82728,34.14,85.46,15.91,69.55,15.9100,15.9100,68.6950
Blue Shield of California,82728,51.60,63.18,50.71,12.47,50.7100,50.7100,50.7100
Cigna Corporation,82728,69.12,69.12,69.12,0.00,69.1200,69.1200,69.1200
Kaiser Foundation Health Plan,82728,46.59,70.00,23.85,46.15,23.8500,44.9250,70.0000
UnitedHealthcare,82728,52.65,52.65,52.65,0.00,52.6500,52.6500,52.6500
Aetna,82947,10.62,24.64,4.58,20.06,4.5800,4.5800,23.0800
Blue Shield of California,82947,14.95,18.19,14.60,3.59,14.6000,14.6000,14.6000
Cigna Corporation,82947,19.94,19.94,19.94,0.00,19.9400,19.9400,19.9400
Kaiser Foundation Health Plan,82947,14.91,20.00,10.00,10.00,10.0000,14.5000,20.0000
UnitedHealthcare,82947,15.18,15.18,15.18,0.00,15.1800,15.1800,15.1800
Aetna,82962,8.30,20.57,2.73,17.84,2.7300,2.7300,20.0275
Blue Shield of California,82962,8.89,10.86,8.69,2.17,8.6900,8.6900,8.6900
Cigna Corporation,82962,11.96,11.96,11.96,0.00,11.9600,11.9600,11.9600
Kaiser Foundation Health Plan,82962,8.50,13.00,5.74,7.26,5.7400,5.7400,13.0000
UnitedHealthcare,82962,12.68,13.39,12.67,0.72,12.6700,12.6700,12.6700
Aetna,83036,24.64,60.88,11.34,49.54,11.3400,11.3400,50.2600
Ambetter,83036,16.75,17.07,16.17,0.90,16.1700,17.0700,17.0700
Blue Shield of California,83036,37.02,45.02,36.14,8.88,36.1400,36.1400,36.1400
Cigna Corporation,83036,49.18,49.18,49.18,0.00,49.1800,49.1800,49.1800
Kaiser Foundation Health Plan,83036,33.76,49.00,16.99,32.01,16.9900,46.0000,49.0000
UnitedHealthcare,83036,37.82,55.59,37.51,18.08,37.5100,37.5100,37.5100
Cigna Corporation,840,6500.00,6500.00,6500.00,0.00,6500.0000,6500.0000,6500.0000
Aetna,84153,45.69,115.31,18.40,96.91,21.4900,21.4900,91.8550
Blue Shield of California,84153,70.11,85.32,68.50,16.82,68.5000,68.5000,68.5000
Cigna Corporation,84153,93.04,93.04,93.04,0.00,93.0400,93.0400,93.0400
Kaiser Foundation Health Plan,84153,57.57,92.00,32.18,59.82,32.1800,32.1800,92.0000
UnitedHealthcare,84153,71.04,71.04,71.04,0.00,71.0400,71.0400,71.0400
Aetna,84165,36.09,123.27,12.55,110.72,12.5500,15.9300,67.3400
Ambetter,84165,30.79,30.79,30.79,0.00,30.7900,30.7900,30.7900
Blue Shield of California,84165,49.83,49.83,49.83,0.00,49.8300,49.8300,49.8300
Cigna Corporation,84165,80.35,120.53,54.50,66.03,54.5000,66.0300,120.5300
Kaiser Foundation Health Plan,84165,37.98,65.00,18.80,46.20,18.8000,18.8000,65.0000
UnitedHealthcare,84165,58.76,75.94,41.49,34.45,41.4900,61.5300,75.9400
Aetna,84439,22.97,56.56,10.53,46.03,10.5300,10.5300,47.0200
Blue Shield of California,84439,34.35,41.83,33.56,8.27,33.5600,33.5600,33.5600
Cigna Corporation,84439,45.19,45.19,45.19,0.00,45.1900,45.1900,45.1900
Kaiser Foundation Health Plan,84439,28.64,46.00,15.79,30.21,15.7900,15.7900,46.0000
UnitedHealthcare,84439,34.84,34.84,34.84,0.00,34.8400,34.8400,34.8400
Aetna,84443,41.83,105.34,18.40,86.94,19.6200,19.6200,83.9100
Blue Shield of California,84443,64.06,77.92,62.52,15.40,62.5200,62.5200,62.5200
Cigna Corporation,84443,85.07,85.07,85.07,0.00,85.0700,85.0700,85.0700
Kaiser Foundation Health Plan,84443,58.31,85.00,29.40,55.60,29.4000,85.0000,85.0000
UnitedHealthcare,84443,65.44,96.20,64.90,31.30,64.9000,64.9000,64.9000
Aetna,85018,6.84,18.40,2.76,15.64,2.7600,2.7600,14.8600
Ambetter,85018,3.95,3.95,3.95,0.00,3.9500,3.9500,3.9500
Blue Shield of California,85018,9.01,10.99,8.79,2.20,8.7900,8.7900,8.7900
Cigna Corporation,85018,11.96,11.96,11.96,0.00,11.9600,11.9600,11.9600
Kaiser Foundation Health Plan,85018,10.25,12.00,9.00,3.00,9.0000,9.0000,12.0000
UnitedHealthcare,85018,9.15,9.15,9.15,0.00,9.1500,9.1500,9.1500
Aetna,85025,19.94,48.72,9.08,39.64,9.0800,9.0800,41.1400
Blue Shield of California,85025,29.64,36.06,28.93,7.13,28.9300,28.9300,28.9300
Cigna Corporation,85025,39.88,39.88,39.88,0.00,39.8800,39.8800,39.8800
Kaiser Foundation Health Plan,85025,30.07,39.00,20.00,19.00,20.0000,38.0000,39.0000
UnitedHealthcare,85025,30.26,44.52,30.01,14.51,30.0100,30.0100,30.0100
Aetna,85027,16.79,40.57,7.56,33.01,7.5600,7.5600,35.0275
Blue Shield of California,85027,24.65,30.01,24.08,5.93,24.0800,24.0800,24.0800
Cigna Corporation,85027,33.23,33.23,33.23,0.00,33.2300,33.2300,33.2300
Kaiser Foundation Health Plan,85027,21.50,27.00,16.00,11.00,16.0000,21.5000,27.0000
UnitedHealthcare,85027,25.20,37.07,24.99,12.08,24.9900,24.9900,24.9900
Aetna,85060,56.64,162.77,18.40,144.37,19.4400,19.4400,126.9375
Blue Shield of California,85060,90.32,90.32,90.32,0.00,90.3200,90.3200,90.3200
Cigna Corporation,85060,90.17,90.17,90.17,0.00,90.1700,90.1700,90.1700
Kaiser Foundation Health Plan,85060,55.02,60.00,47.18,12.82,47.1800,60.0000,60.0000
UnitedHealthcare,85060,100.19,100.28,95.31,4.97,100.2800,100.2800,100.2800
Aetna,85610,11.21,26.90,4.59,22.31,4.5900,4.5900,24.7750
Blue Shield of California,85610,14.88,18.23,14.63,3.60,14.6300,14.6300,14.6300
Cigna Corporation,85610,19.94,19.94,19.94,0.00,19.9400,19.9400,19.9400
Kaiser Foundation Health Plan,85610,14.28,20.00,10.00,10.00,10.0000,10.0000,20.0000
UnitedHealthcare,85610,16.67,22.50,16.57,5.93,16.5700,16.5700,16.5700
Aetna,86580,21.75,62.32,6.54,55.78,6.5400,6.5400,51.3400
Ambetter,86580,18.64,18.64,18.64,0.00,18.6400,18.6400,18.6400
Blue Shield of California,86580,32.32,75.09,27.93,47.16,27.9300,27.9300,27.9300
Cigna Corporation,86580,29.99,29.99,29.99,0.00,29.9900,29.9900,29.9900
Kaiser Foundation Health Plan,86580,30.12,40.00,20.91,19.09,20.9100,28.4550,40.0000
UnitedHealthcare,86580,38.28,38.40,32.07,6.33,38.4000,38.4000,38.4000
Aetna,86769,40.20,42.13,18.40,23.73,42.1300,42.1300,42.1300
Blue Shield of California,86769,6.87,6.87,6.87,0.00,6.8700,6.8700,6.8700
Cigna Corporation,86769,65.00,65.00,65.00,0.00,65.0000,65.0000,65.0000
Kaiser Foundation Health Plan,86769,83.02,90.00,73.73,16.27,73.7300,90.0000,90.0000
UnitedHealthcare,86769,162.89,171.44,162.74,8.70,162.7400,162.7400,162.7400
Aetna,87070,21.99,54.05,10.06,43.99,10.0600,10.0600,45.1375
Blue Shield of California,87070,32.80,39.94,32.05,7.89,32.0500,32.0500,32.0500
Cigna Corporation,87070,43.86,43.86,43.86,0.00,43.8600,43.8600,43.8600
Kaiser Foundation Health Plan,87070,30.43,52.00,15.09,36.91,15.0900,15.0900,52.0000
UnitedHealthcare,87070,33.30,33.30,33.30,0.00,33.3000,33.3000,33.3000
Aetna,87077,20.69,50.66,9.44,41.22,9.4400,9.4400,42.5950
Blue Shield of California,87077,30.80,37.48,30.06,7.42,30.0600,30.0600,30.0600
Cigna Corporation,87077,41.21,41.21,41.21,0.00,41.2100,41.2100,41.2100
Kaiser Foundation Health Plan,87077,27.84,50.00,14.14,35.86,14.1400,14.1400,50.0000
UnitedHealthcare,87077,31.21,31.21,31.21,0.00,31.2100,31.2100,31.2100
Aetna,87081,17.17,41.57,7.74,33.83,7.7400,7.7400,35.7775
Blue Shield of California,87081,25.25,30.74,24.67,6.07,24.6700,24.6700,24.6700
Cigna Corporation,87081,33.23,33.23,33.23,0.00,33.2300,33.2300,33.2300
Kaiser Foundation Health Plan,87081,23.19,39.00,12.00,27.00,12.0000,12.0000,39.0000
UnitedHealthcare,87081,25.82,37.97,25.61,12.36,25.6100,25.6100,25.6100
Aetna,87086,20.67,50.60,9.43,41.17,9.4300,9.4300,42.5500
Blue Shield of California,87086,30.58,37.45,30.06,7.39,30.0600,30.0600,30.0600
Cigna Corporation,87086,41.21,41.21,41.21,0.00,41.2100,41.2100,41.2100
Kaiser Foundation Health Plan,87086,28.59,49.00,14.12,34.88,14.1200,14.1200,49.0000
UnitedHealthcare,87086,31.17,31.17,31.17,0.00,31.1700,31.1700,31.1700
Aetna,87426,43.05,45.23,18.40,26.83,45.2300,45.2300,45.2300
Blue Shield of California,87426,89.32,89.32,89.32,0.00,89.3200,89.3200,89.3200
Cigna Corporation,87426,65.00,65.00,65.00,0.00,65.0000,65.0000,65.0000
Kaiser Foundation Health Plan,87426,73.61,79.00,61.83,17.17,71.0000,71.0000,79.0000
UnitedHealthcare,87426,187.85,187.85,187.85,0.00,187.8500,187.8500,187.8500
Aetna,87428,69.02,73.49,18.40,55.09,73.4900,73.4900,73.4900
Blue Shield of California,87428,83.89,102.72,82.45,20.27,82.4500,82.4500,82.4500
Cigna Corporation,87428,65.00,65.00,65.00,0.00,65.0000,65.0000,65.0000
Kaiser Foundation Health Plan,87428,133.29,150.00,123.01,26.99,123.0100,123.0100,150.0000
UnitedHealthcare,87428,341.07,341.12,338.33,2.79,341.1200,341.1200,341.1200
Aetna,87491,86.17,220.01,18.40,201.61,40.9900,40.9900,175.2550
Blue Shield of California,87491,133.86,162.81,130.65,32.16,130.6500,130.6500,130.6500
Cigna Corporation,87491,178.11,178.11,178.11,0.00,178.1100,178.1100,178.1100
Kaiser Foundation Health Plan,87491,116.87,207.00,61.41,145.59,61.4100,61.4100,207.0000
UnitedHealthcare,87491,136.68,200.99,135.55,65.44,135.5500,135.5500,135.5500
